compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
8	4	0.0600953	0.000177114	0	3
8	5	0.0746641	0.000116305	0	8
8	6	0.0885493	0.000161294	1	5
8	7	0.102786	0.000277508	0	2
8	8	0.116677	0.000237782	0	3
8	9	0.130293	0.000188978	0	5
8	10	0.143742	0.000258541	0	3
8	11	0.156336	0.000473022	0	1
8	12	0.170027	0.000236247	0	4
8	13	0.1831	0.00028334	0	3
8	15	0.20819	0.000528821	1	1
8	16	0.218971	0.000538635	0	1
8	17	0.23188	0.000308539	1	3
8	19	0.255151	0.000567806	1	1
8	25	0.318894	0.000607013	1	1
8	31	0.377458	0.000631373	1	1
8	39	0.443622	0.000647082	0	1
8	59	0.570643	0.000644702	1	1
9	1	0.0176688	2.1957e-05	4	56
9	2	0.0350524	4.70097e-05	0	24
9	3	0.0521759	5.6619e-05	0	24
9	4	0.0689683	9.19091e-05	0	12
9	5	0.0854165	6.01723e-05	3	32
9	6	0.101764	8.36228e-05	2	20
9	7	0.117588	0.000143697	1	8
9	8	0.133237	0.000122658	3	12
9	9	0.148408	9.73785e-05	3	20
9	10	0.163367	0.000133292	0	12
9	11	0.177987	0.000243638	1	4
9	12	0.192154	0.00012087	3	16
9	13	0.206334	0.000145211	2	12
9	15	0.233291	0.000270142	2	4
9	16	0.246992	0.000274972	0	4
9	17	0.259711	0.000156846	2	12
9	19	0.284745	0.000288241	1	4
9	25	0.353394	0.000306395	2	4
9	31	0.413038	0.000316245	2	4
9	39	0.48046	0.000321923	2	4
9	59	0.606522	0.000315533	3	4
10	1	0.0202329	2.72619e-05	1	42
10	2	0.04013	5.83103e-05	0	18
10	3	0.0594794	6.98835e-05	0	18
10	4	0.0783109	0.000113152	0	9
10	5	0.0969151	7.39281e-05	2	24
10	6	0.115059	0.000102394	0	15
10	7	0.132595	0.000175585	1	6
10	8	0.149971	0.000149596	2	9
10	9	0.166723	0.000118577	3	15
10	10	0.182877	0.000161508	4	9
10	11	0.198866	0.000295369	0	3
10	12	0.214607	0.000146728	1	12
10	13	0.229919	0.000175549	3	9
10	15	0.25952	0.000324857	0	3
10	16	0.272898	0.000329826	0	3
10	17	0.286927	0.00018816	5	9
10	19	0.31301	0.000343941	1	3
10	25	0.384144	0.000361331	1	3
10	31	0.44579	0.000369766	3	3
10	39	0.514774	0.000372883	1	3
10	59	0.638217	0.000359789	2	3
11	1	0.0229095	5.11941e-05	0	14
11	2	0.0452453	0.000108958	1	6
11	3	0.0669672	0.000130346	1	6
11	4	0.0880009	0.000210805	0	3
11	5	0.108538	0.000137161	1	8
11	6	0.128655	0.000189582	0	5
11	7	0.147609	0.000323663	0	2
11	8	0.166999	0.000275233	0	3
11	9	0.185144	0.000217501	1	5
11	10	0.202871	0.000296205	1	3
11	11	0.22023	0.000539746	0	1
11	12	0.236995	0.000267216	1	4
11	13	0.253506	0.000319035	2	3
11	15	0.284004	0.000587334	0	1
11	16	0.300284	0.000597028	0	1
11	17	0.313845	0.000338974	0	3
11	19	0.340751	0.000617321	1	1
11	25	0.415348	0.000641834	0	1
11	31	0.477715	0.000650588	1	1
11	39	0.545219	0.000648566	1	1
11	59	0.666274	0.000614171	0	1
14	1	0.0318671	5.9885e-05	0	14
14	2	0.0624389	0.000126858	1	6
14	3	0.0917022	0.000150117	1	6
14	4	0.119195	0.000240728	0	3
14	5	0.146367	0.000155133	2	8
14	6	0.1716	0.000212928	0	5
14	7	0.195665	0.000362608	0	2
14	8	0.219496	0.000305751	1	3
14	9	0.241526	0.000239503	2	5
14	10	0.263121	0.000324514	0	3
14	11	0.283795	0.000587204	0	1
14	12	0.302847	0.000288477	2	4
14	13	0.322244	0.000342919	1	3
14	15	0.356424	0.000623808	0	1
14	16	0.37356	0.000630068	1	1
14	17	0.389703	0.000357683	0	3
14	19	0.420377	0.000642925	0	1
14	25	0.497544	0.000651227	1	1
14	31	0.558838	0.00064671	1	1
14	39	0.624435	0.000630745	0	1
14	59	0.733481	0.000575872	1	1
17	1	0.0422625	6.83158e-05	0	14
17	2	0.081723	0.000143235	0	6
17	3	0.118899	0.000167697	0	6
17	4	0.15358	0.000267831	0	3
17	5	0.186505	0.000170075	2	8
17	6	0.217405	0.000232514	0	5
17	7	0.245898	0.000393023	1	2
17	8	0.272727	0.000328474	0	3
17	9	0.299022	0.000256215	2	5
17	10	0.322704	0.000344962	3	3
17	11	0.346237	0.000619676	1	1
17	12	0.367721	0.000303446	0	4
17	13	0.38825	0.00035764	0	3
17	15	0.426296	0.000644121	1	1
17	16	0.443218	0.000647022	1	1
17	17	0.460626	0.000366197	1	3
17	19	0.49063	0.000651121	1	1
17	25	0.567505	0.000645272	1	1
17	31	0.626985	0.000629882	1	1
17	39	0.688496	0.000603185	1	1
17	59	0.784715	0.000535341	1	1
